gen,nevals,avg,max
1,100.0,0.5022655137844612,0.6907255639097745
2,100.0,0.5321356390977444,0.7000689223057645
3,100.0,0.5578741854636592,0.7040125313283209
4,100.0,0.5752474561403509,0.7100576441102757
5,100.0,0.587128045112782,0.7140538847117796
6,100.0,0.5954186967418545,0.7197456140350877
7,100.0,0.604456917293233,0.723063909774436
8,100.0,0.6118749122807017,0.7241591478696743
9,100.0,0.6158123308270677,0.7254197994987469
10,100.0,0.620888634085213,0.7265626566416039
11,100.0,0.6253718546365915,0.7276265664160401
12,100.0,0.6266206140350876,0.7284348370927318
13,100.0,0.6280926065162906,0.7285701754385965
14,100.0,0.6332318170426066,0.7288558897243108
15,100.0,0.6339604010025063,0.7293997493734335
16,100.0,0.6331571553884712,0.7304937343358396
17,100.0,0.6343995864661655,0.7307230576441104
18,100.0,0.6354199373433584,0.7309072681704261
19,100.0,0.6366804010025063,0.7313696741854636
20,100.0,0.6357508145363409,0.7324561403508771
21,100.0,0.6370190852130326,0.7325952380952381
22,100.0,0.6395274937343358,0.7332268170426065
23,100.0,0.6398474937343358,0.7332305764411028
24,100.0,0.6401010651629073,0.7332305764411028
25,100.0,0.6417339974937344,0.7333358395989975
26,100.0,0.6408514285714285,0.7335162907268171
27,100.0,0.6418016165413534,0.7337606516290728
28,100.0,0.643433634085213,0.7339711779448622
29,100.0,0.6438299498746868,0.733982456140351
30,100.0,0.6436829072681705,0.7342192982456139
31,100.0,0.6451515538847118,0.7343546365914786
32,100.0,0.6444043984962406,0.7343546365914786
33,100.0,0.6452944360902255,0.7343583959899749
34,100.0,0.6441357769423559,0.734922305764411
35,100.0,0.6437954761904762,0.7350137844611528
36,100.0,0.6454362907268171,0.7350513784461153
37,100.0,0.6456682330827068,0.7351152882205514
38,100.0,0.6464912406015038,0.7355363408521304
39,100.0,0.6457941854636592,0.7355739348370928
40,100.0,0.646994448621554,0.7362756892230576
41,100.0,0.6461536340852131,0.73631328320802
42,100.0,0.6480724686716792,0.7363659147869674
43,100.0,0.6459374310776942,0.7363734335839599
44,100.0,0.646571992481203,0.7365576441102757
45,100.0,0.6466027067669173,0.7367869674185464
46,100.0,0.6488609147869674,0.7370802005012532
47,100.0,0.6473706892230576,0.7371253132832081
48,100.0,0.6496616541353383,0.7371253132832081
49,100.0,0.6473699874686717,0.7371365914786968
50,100.0,0.6475344736842106,0.7371365914786968
