gen,nevals,avg,max
1,100.0,0.395178843537415,0.5364693877551021
2,100.0,0.4262524149659864,0.5438945578231292
3,100.0,0.45063142857142857,0.5457789115646259
4,100.0,0.46069843537414973,0.5479931972789116
5,100.0,0.46812363945578234,0.5531700680272108
6,100.0,0.4727387074829932,0.5549591836734693
7,100.0,0.4782712244897959,0.5566836734693877
8,100.0,0.4822884013605442,0.5575918367346938
9,100.0,0.4853331632653061,0.557921768707483
10,100.0,0.4840529591836735,0.5586700680272109
11,100.0,0.4893559523809524,0.5599149659863946
12,100.0,0.48931425170068027,0.5604489795918367
13,100.0,0.4901792517006803,0.5607244897959184
14,100.0,0.49228122448979594,0.560795918367347
15,100.0,0.49364329931972784,0.5609081632653061
16,100.0,0.4940247278911564,0.5624115646258504
17,100.0,0.49340523809523806,0.5624115646258504
18,100.0,0.4953539455782313,0.5624115646258504
19,100.0,0.4936374149659864,0.5626564625850341
20,100.0,0.49242146258503405,0.5632789115646258
21,100.0,0.49295758503401366,0.563656462585034
22,100.0,0.4978069387755102,0.5652585034013605
23,100.0,0.49846129251700677,0.5652585034013605
24,100.0,0.49784374149659866,0.5652585034013605
25,100.0,0.5007634693877551,0.5655442176870749
26,100.0,0.49914258503401365,0.5656360544217687
27,100.0,0.5012471428571429,0.566187074829932
28,100.0,0.5015402040816327,0.5662551020408163
29,100.0,0.5041665986394558,0.5662857142857143
30,100.0,0.5018709863945578,0.566530612244898
31,100.0,0.5029325170068027,0.5668061224489795
32,100.0,0.5017426190476191,0.5668061224489795
33,100.0,0.5024448299319728,0.5668061224489795
34,100.0,0.5026110204081633,0.567795918367347
35,100.0,0.5035895238095238,0.5678877551020408
36,100.0,0.5037911904761905,0.5679897959183674
37,100.0,0.5066717006802721,0.5680408163265306
38,100.0,0.5057677891156462,0.5680408163265306
39,100.0,0.503501462585034,0.5680816326530612
40,100.0,0.5037018707482993,0.5681632653061224
41,100.0,0.5055661224489796,0.568265306122449
42,100.0,0.5062413265306122,0.568265306122449
43,100.0,0.5023489115646258,0.5682857142857143
44,100.0,0.5055958163265307,0.5687857142857142
45,100.0,0.5050049319727892,0.5687857142857142
46,100.0,0.506375918367347,0.569561224489796
47,100.0,0.5062276530612245,0.5696020408163266
48,100.0,0.5064815646258504,0.5696020408163266
49,100.0,0.503323231292517,0.5696326530612245
50,100.0,0.5045920408163266,0.5696326530612245
