gen,nevals,avg,max
0,100.0,0.5014785714285713,0.6059047619047618
1,68.66666666666667,0.5394471428571429,0.6103333333333333
2,71.33333333333333,0.5620180952380952,0.6125238095238096
3,73.66666666666667,0.5812285714285714,0.6201904761904762
4,70.33333333333333,0.5932238095238095,0.620952380952381
5,75.33333333333333,0.6042238095238095,0.6223333333333333
6,76.33333333333333,0.6084133333333334,0.6237142857142857
7,72.66666666666667,0.6132657142857143,0.6259047619047619
8,76.0,0.6162242857142858,0.6273809523809524
9,70.0,0.6186052380952382,0.6273809523809524
10,73.66666666666667,0.619177619047619,0.6279047619047619
11,69.0,0.6222414285714285,0.6281904761904762
12,66.66666666666667,0.6238023809523808,0.6295238095238095
13,76.0,0.6232471428571428,0.6295238095238095
14,71.0,0.6221709523809523,0.6295238095238095
15,74.33333333333333,0.6251590476190476,0.6295238095238095
16,82.0,0.6259595238095237,0.6295238095238095
17,68.66666666666667,0.6253866666666665,0.6296190476190476
18,73.66666666666667,0.6254761904761904,0.6304285714285714
19,67.66666666666667,0.6268480952380951,0.6304285714285714
20,69.66666666666667,0.625968095238095,0.6304285714285714
21,72.0,0.6250923809523808,0.6304285714285714
22,79.0,0.6250695238095237,0.6305714285714287
23,73.66666666666667,0.6274271428571426,0.6310476190476191
24,76.0,0.6269757142857141,0.6305714285714287
25,71.66666666666667,0.627072857142857,0.6305714285714287
26,72.0,0.6280099999999998,0.6305714285714287
27,75.0,0.6275033333333332,0.6305714285714287
28,70.66666666666667,0.6268319047619046,0.6305714285714287
29,76.0,0.6272085714285712,0.6305714285714287
30,70.66666666666667,0.6276571428571427,0.6305714285714287
31,76.33333333333333,0.6266433333333331,0.6305714285714287
32,68.0,0.6267071428571427,0.6306190476190476
33,70.33333333333333,0.6276933333333331,0.6306190476190476
34,73.66666666666667,0.6266652380952379,0.6306190476190476
35,69.33333333333333,0.6249880952380951,0.6306190476190476
36,71.66666666666667,0.6263909523809522,0.6306666666666667
37,74.66666666666667,0.6281004761904762,0.6306666666666667
38,71.33333333333333,0.6281299999999999,0.6306666666666667
39,76.33333333333333,0.6292219047619046,0.6306666666666667
40,75.66666666666667,0.6245914285714285,0.6306666666666667
41,67.0,0.6278719047619047,0.6306666666666667
42,74.66666666666667,0.6288280952380951,0.6306666666666667
43,70.33333333333333,0.6271528571428572,0.6311428571428572
44,70.66666666666667,0.6278295238095237,0.6311428571428572
45,72.0,0.6270076190476189,0.6311428571428572
46,75.33333333333333,0.6279595238095238,0.6311428571428572
47,73.33333333333333,0.6292395238095237,0.6312857142857143
48,70.33333333333333,0.6276190476190475,0.6314761904761905
49,69.66666666666667,0.6286333333333333,0.6314761904761905
50,72.0,0.6288038095238095,0.6314761904761905
