gen,nevals,avg,max
1,100.0,0.4240926330532213,0.5707955182072829
2,100.0,0.45578577030812323,0.5774341736694678
3,100.0,0.4809812044817927,0.5815238095238096
4,100.0,0.4914398039215686,0.584484593837535
5,100.0,0.4979350980392157,0.5898767507002801
6,100.0,0.5026550980392157,0.5914145658263306
7,100.0,0.5074249299719888,0.5928963585434174
8,100.0,0.5119893837535013,0.5936442577030812
9,100.0,0.5138612044817927,0.5939215686274509
10,100.0,0.515963137254902,0.5948095238095238
11,100.0,0.5185584033613445,0.5959915966386555
12,100.0,0.5199491036414566,0.5967591036414566
13,100.0,0.5217171428571429,0.5969859943977591
14,100.0,0.5241508403361345,0.5970448179271709
15,100.0,0.5256230252100841,0.5971372549019608
16,100.0,0.5264226610644258,0.5985014005602242
17,100.0,0.5257068347338936,0.5985014005602242
18,100.0,0.5267835294117648,0.5986134453781512
19,100.0,0.5267322408963586,0.5989775910364146
20,100.0,0.5255179831932774,0.5994901960784313
21,100.0,0.5257620168067227,0.5998011204481792
22,100.0,0.530165406162465,0.6011204481792717
23,100.0,0.5310609523809524,0.6011204481792717
24,100.0,0.529632492997199,0.6011204481792717
25,100.0,0.531838431372549,0.6013557422969188
26,100.0,0.53102918767507,0.6014313725490196
27,100.0,0.5327142577030812,0.6018851540616247
28,100.0,0.5332711484593837,0.60196918767507
29,100.0,0.5361501680672269,0.6019943977591037
30,100.0,0.5338268347338936,0.6021960784313726
31,100.0,0.5344517927170869,0.6024229691876751
32,100.0,0.5343115966386555,0.6024229691876751
33,100.0,0.534070700280112,0.6024229691876751
34,100.0,0.5347825490196079,0.6032380952380952
35,100.0,0.5353324369747899,0.603313725490196
36,100.0,0.5355307843137255,0.6033977591036415
37,100.0,0.5385361904761905,0.6034397759103641
38,100.0,0.5375375070028011,0.6041204481792717
39,100.0,0.5357894397759104,0.6041540616246499
40,100.0,0.5363760504201681,0.6042633053221289
41,100.0,0.5376503081232493,0.6043473389355742
42,100.0,0.5381350980392157,0.6043473389355742
43,100.0,0.5342348179271709,0.6043641456582634
44,100.0,0.5375780392156864,0.6047759103641457
45,100.0,0.5364967507002801,0.6047759103641457
46,100.0,0.5382839495798319,0.6054257703081233
47,100.0,0.5375887394957983,0.6055266106442577
48,100.0,0.5383875350140056,0.6055266106442577
49,100.0,0.5357885154061625,0.6055518207282913
50,100.0,0.5371723529411765,0.6055518207282913
