gen,nevals,avg,max
1,100.0,0.4676880357142857,0.6615357142857142
2,100.0,0.5158888095238096,0.6720357142857143
3,100.0,0.5539904761904763,0.6735238095238095
4,100.0,0.5670803571428572,0.6744166666666667
5,100.0,0.578838869047619,0.681220238095238
6,100.0,0.5849402380952381,0.6841666666666666
7,100.0,0.5917918452380952,0.6864226190476191
8,100.0,0.596502380952381,0.687797619047619
9,100.0,0.5998428571428572,0.688125
10,100.0,0.5980553571428572,0.6890654761904762
11,100.0,0.6068441666666667,0.6912440476190476
12,100.0,0.6067331547619048,0.6919583333333333
13,100.0,0.6049683333333333,0.6923511904761904
14,100.0,0.6107421428571429,0.6924761904761905
15,100.0,0.6103642857142857,0.6926071428571429
16,100.0,0.6115647023809524,0.6947678571428572
17,100.0,0.610441011904762,0.6947678571428572
18,100.0,0.6138316666666667,0.6947678571428572
19,100.0,0.6100051785714286,0.695
20,100.0,0.6069782738095238,0.6960892857142857
21,100.0,0.6053810714285714,0.6967500000000001
22,100.0,0.6168157738095238,0.6995535714285714
23,100.0,0.6172985119047619,0.6995535714285714
24,100.0,0.6149891071428571,0.6995535714285714
25,100.0,0.6187797619047619,0.6999107142857143
26,100.0,0.6179829166666667,0.6999821428571429
27,100.0,0.6202758333333334,0.7007500000000001
28,100.0,0.6196842261904763,0.7007500000000001
29,100.0,0.6235992261904763,0.7008035714285715
30,100.0,0.6211572023809524,0.7009642857142858
31,100.0,0.6220570238095239,0.7012499999999999
32,100.0,0.6228148809523809,0.7012499999999999
33,100.0,0.6232382142857144,0.7012499999999999
34,100.0,0.6239679166666667,0.7029821428571429
35,100.0,0.6237651785714285,0.7030535714285714
36,100.0,0.6237081547619048,0.7030535714285714
37,100.0,0.6263223809523809,0.7030833333333333
38,100.0,0.6262089285714286,0.7030833333333333
39,100.0,0.6214138690476191,0.7030833333333333
40,100.0,0.623723392857143,0.7030833333333333
41,100.0,0.6258029166666667,0.7032440476190476
42,100.0,0.6251004166666666,0.7032440476190476
43,100.0,0.6198082738095237,0.7032678571428571
44,100.0,0.6238848214285715,0.7041071428571429
45,100.0,0.6257455952380953,0.7041071428571429
46,100.0,0.6281943452380953,0.7054642857142857
47,100.0,0.6259660119047619,0.7054642857142857
48,100.0,0.6292961309523809,0.7054642857142857
49,100.0,0.6220190476190476,0.7054999999999999
50,100.0,0.6236629761904763,0.7054999999999999
