gen,nevals,avg,max
1,100.0,0.48318418719211825,0.6596650246305419
2,100.0,0.5133600985221676,0.6693300492610837
3,100.0,0.5348641871921183,0.672991789819376
4,100.0,0.551873973727422,0.6766978653530378
5,100.0,0.5615680623973728,0.6809885057471264
6,100.0,0.5696048768472907,0.6852052545155993
7,100.0,0.5770964203612479,0.6870492610837439
8,100.0,0.5836338587848933,0.6879162561576355
9,100.0,0.5867765681444992,0.6880985221674877
10,100.0,0.5909199835796387,0.689072249589491
11,100.0,0.5953412315270936,0.6901871921182267
12,100.0,0.5952135960591134,0.6911822660098522
13,100.0,0.5970425779967159,0.691320197044335
14,100.0,0.602856288998358,0.6914334975369458
15,100.0,0.603495829228243,0.6917257799671592
16,100.0,0.6028343842364532,0.6928735632183908
17,100.0,0.6024233497536946,0.6929376026272578
18,100.0,0.6031213464696223,0.6931789819376026
19,100.0,0.6054479802955666,0.6934302134646962
20,100.0,0.6035197044334976,0.6937553366174055
21,100.0,0.6052738423645321,0.6939376026272578
22,100.0,0.6076412479474548,0.6947110016420361
23,100.0,0.6072114942528736,0.6947159277504105
24,100.0,0.6079359113300493,0.6947159277504105
25,100.0,0.6094509523809524,0.6948538587848933
26,100.0,0.6078370607553366,0.6950903119868638
27,100.0,0.6082866995073891,0.6953612479474549
28,100.0,0.6116217241379311,0.6955238095238095
29,100.0,0.6137635139573071,0.6955385878489327
30,100.0,0.6123005582922825,0.6957274220032841
31,100.0,0.6135514778325123,0.6959047619047619
32,100.0,0.6129092610837439,0.6959047619047619
33,100.0,0.6124306239737274,0.6959096880131364
34,100.0,0.6122040229885057,0.6964302134646962
35,100.0,0.6117373399014778,0.6964745484400656
36,100.0,0.6137901642036124,0.6965238095238095
37,100.0,0.6145488998357963,0.6965681444991789
38,100.0,0.6138369458128079,0.6970180623973727
39,100.0,0.6137499014778325,0.6970673234811166
40,100.0,0.6155294417077176,0.6979638752052545
41,100.0,0.615362315270936,0.6980131362889984
42,100.0,0.6166966666666667,0.6980821018062398
43,100.0,0.6136407553366174,0.6980919540229885
44,100.0,0.6141884072249589,0.6983333333333334
45,100.0,0.6143905747126437,0.6985993431855501
46,100.0,0.6173592446633825,0.698983579638752
47,100.0,0.6154646469622331,0.6990426929392446
48,100.0,0.6180123809523809,0.6990426929392446
49,100.0,0.6144205911330048,0.6990574712643678
50,100.0,0.6149153694581281,0.6990574712643678
