gen,nevals,avg,max
0,100.0,0.49433571428571427,0.6993333333333333
1,76.66666666666667,0.5589566666666667,0.7102380952380952
2,71.33333333333333,0.603657619047619,0.7258571428571429
3,71.33333333333333,0.6387752380952381,0.7323333333333334
4,68.0,0.6672519047619048,0.7401904761904762
5,78.66666666666667,0.6941309523809523,0.7486666666666667
6,68.66666666666667,0.7150957142857143,0.7514761904761905
7,70.0,0.7187395238095237,0.7546666666666667
8,73.33333333333333,0.7345942857142859,0.7592380952380952
9,68.66666666666667,0.7365376190476192,0.7646666666666667
10,73.0,0.7406600000000001,0.7714761904761905
11,71.0,0.7479738095238094,0.7723809523809524
12,71.66666666666667,0.7523833333333334,0.7781428571428571
13,69.66666666666667,0.7576533333333334,0.7787142857142856
14,72.0,0.7647414285714288,0.7783333333333333
15,73.0,0.7633938095238096,0.7826666666666666
16,71.66666666666667,0.7638128571428573,0.7828571428571429
17,67.33333333333333,0.7701638095238096,0.7852857142857143
18,69.66666666666667,0.7672214285714288,0.7861904761904762
19,79.0,0.7747757142857145,0.7873809523809524
20,77.0,0.7737533333333335,0.7892857142857143
21,70.0,0.7777576190476191,0.7913809523809524
22,73.0,0.7721676190476191,0.7925238095238095
23,75.0,0.7819742857142858,0.7923809523809524
24,69.66666666666667,0.7788561904761906,0.7932857142857143
25,72.33333333333333,0.7792814285714287,0.7939047619047619
26,65.33333333333333,0.7829542857142858,0.7940952380952382
27,70.33333333333333,0.783502380952381,0.7944285714285714
28,73.33333333333333,0.7861857142857143,0.7950952380952381
29,76.0,0.7861742857142856,0.7957619047619048
30,75.66666666666667,0.7814233333333335,0.7960476190476191
31,70.0,0.7867785714285715,0.7966190476190477
32,69.66666666666667,0.787102380952381,0.7966190476190477
33,70.66666666666667,0.786044761904762,0.7964285714285714
34,78.33333333333333,0.7826271428571431,0.7964285714285714
35,69.33333333333333,0.7907123809523812,0.7967619047619047
36,71.33333333333333,0.7895,0.7975238095238094
37,69.33333333333333,0.7893171428571429,0.7983809523809523
38,76.66666666666667,0.7875028571428574,0.7983809523809523
39,75.33333333333333,0.7873880952380955,0.7983809523809523
40,69.0,0.7856261904761906,0.7983809523809523
41,67.66666666666667,0.7874095238095239,0.7995238095238095
42,74.0,0.7879261904761905,0.7997142857142857
43,73.33333333333333,0.788772380952381,0.7997142857142857
44,73.0,0.7871852380952381,0.800952380952381
45,71.66666666666667,0.7903147619047619,0.8015714285714286
46,69.33333333333333,0.7855490476190475,0.8015714285714286
47,73.66666666666667,0.78988,0.8015714285714286
48,78.0,0.7908290476190475,0.8016190476190476
49,74.0,0.788641904761905,0.8022857142857144
50,73.0,0.7923652380952383,0.8034761904761906
