gen,nevals,avg,max
1,100.0,0.47862653846153846,0.6545641025641026
2,100.0,0.5100569047619048,0.6635128205128205
3,100.0,0.532973663003663,0.667430402930403
4,100.0,0.5510340659340659,0.6706135531135532
5,100.0,0.5603970146520146,0.6747838827838828
6,100.0,0.5691205494505495,0.6784816849816849
7,100.0,0.5783628021978021,0.6801355311355312
8,100.0,0.584797326007326,0.6811025641025641
9,100.0,0.5881967582417582,0.6813058608058608
10,100.0,0.5924154945054945,0.6821684981684982
11,100.0,0.5967749267399268,0.6832564102564103
12,100.0,0.5964532051282051,0.6839670329670329
13,100.0,0.5991957326007326,0.684120879120879
14,100.0,0.603692728937729,0.6842472527472527
15,100.0,0.604764010989011,0.6843076923076923
16,100.0,0.6042119963369963,0.6853131868131869
17,100.0,0.6044710439560439,0.6853644688644689
18,100.0,0.6054415201465202,0.6856007326007326
19,100.0,0.606639413919414,0.6858754578754579
20,100.0,0.6059452747252747,0.6862289377289377
21,100.0,0.6077619963369963,0.6864322344322344
22,100.0,0.6096505494505495,0.6872948717948718
23,100.0,0.6098464835164835,0.6873003663003663
24,100.0,0.6101571428571428,0.6873003663003663
25,100.0,0.6112882600732601,0.6874542124542125
26,100.0,0.6100362454212453,0.6876465201465202
27,100.0,0.6105213369963369,0.6879487179487179
28,100.0,0.6132699816849817,0.688003663003663
29,100.0,0.6159175824175824,0.6880201465201464
30,100.0,0.6131642307692308,0.6881630036630036
31,100.0,0.6148697069597069,0.6883608058608058
32,100.0,0.6148413003663004,0.6883608058608058
33,100.0,0.6145019230769231,0.6883663003663003
34,100.0,0.6137690659340659,0.6889120879120879
35,100.0,0.6133835164835164,0.6889615384615384
36,100.0,0.6154128937728938,0.6890164835164835
37,100.0,0.6160325641025641,0.6890659340659341
38,100.0,0.6149828571428572,0.689510989010989
39,100.0,0.6154980402930403,0.689565934065934
40,100.0,0.6169615201465202,0.6897472527472528
41,100.0,0.617399120879121,0.6898021978021978
42,100.0,0.6181179487179487,0.6898076923076923
43,100.0,0.6148067948717949,0.6898186813186813
44,100.0,0.6151782234432235,0.6900879120879121
45,100.0,0.614985293040293,0.6903846153846154
46,100.0,0.6181997619047619,0.6908131868131868
47,100.0,0.6166530402930404,0.690879120879121
48,100.0,0.6186299816849817,0.690879120879121
49,100.0,0.6160839926739927,0.6908956043956044
50,100.0,0.6165211721611722,0.6908956043956044
